Pointer Name,Target Data Type,DataStructType
J3DModelInfoBlock *,J3DModelInfoBlock,Structure
J3DModelLoader *,J3DModelLoader,Structure
J3DModel__vtbl *,J3DModel__vtbl,Structure
J3DMtxCalc *,J3DMtxCalc,Structure
J3DMtxCalc * *,J3DMtxCalc *,Pointer
J3DMtxCalcAnm *,J3DMtxCalcAnm,Structure
J3DMtxCalcBasic *,J3DMtxCalcBasic,Structure
J3DNBTScale *,J3DNBTScale,TypeDef
J3DNode *,J3DNode,Structure
J3DNode__vtbl *,J3DNode__vtbl,Structure
J3DPEBlock *,J3DPEBlock,Structure
J3DPEBlockFull *,J3DPEBlockFull,Structure
J3DPacket *,J3DPacket,Structure
J3DPacket * *,J3DPacket *,Pointer
J3DShape *,J3DShape,Structure
J3DShape * *,J3DShape *,Pointer
J3DShapeBlock *,J3DShapeBlock,Structure
J3DShapeDraw *,J3DShapeDraw,Structure
J3DShapeDraw * *,J3DShapeDraw *,Pointer
J3DShapeMtx *,J3DShapeMtx,Structure
J3DShapeMtx * *,J3DShapeMtx *,Pointer
J3DShapePacket *,J3DShapePacket,Structure
J3DSkinDeform *,J3DSkinDeform,Structure
J3DSys *,J3DSys,Structure
J3DTevBlock *,J3DTevBlock,Structure
J3DTevBlockPatched *,J3DTevBlockPatched,Structure
J3DTevBlock__vtbl *,J3DTevBlock__vtbl,Structure
J3DTevColorAnm *,J3DTevColorAnm,Structure
J3DTevKColorAnm *,J3DTevKColorAnm,Structure
J3DTevOrder *,J3DTevOrder,Structure
J3DTevStage *,J3DTevStage,Structure
J3DTevStageInfo *,J3DTevStageInfo,Structure
J3DTevSwapModeInfo *,J3DTevSwapModeInfo,TypeDef
J3DTevSwapModeTable *,J3DTevSwapModeTable,Structure
J3DTexCoord *,J3DTexCoord,Structure
J3DTexGenBlock *,J3DTexGenBlock,Structure
J3DTexGenBlockPatched *,J3DTexGenBlockPatched,Structure
J3DTexGenBlock__vtbl *,J3DTexGenBlock__vtbl,Structure
J3DTexMtx *,J3DTexMtx,Structure
J3DTexMtxAnm *,J3DTexMtxAnm,Structure
J3DTexNoAnm *,J3DTexNoAnm,Structure
J3DTexture *,J3DTexture,Structure
J3DTextureBlock *,J3DTextureBlock,Structure
J3DTextureSRTInfo *,J3DTextureSRTInfo,Structure
