ProcName,ProcValue,StructName,FileName,Guess
PROC_TAG_MSG,414,daTag_Msg_c,d_a_tag_msg.cpp,False
PROC_TAG_ETC,415,daTag_Etc_c,d_a_tag_etc.cpp,False
PROC_TAG_ISLAND,416,daTag_Island_c,d_a_tag_island.cpp,True
PROC_TAG_KF1,417,daTag_Kf1_c,d_a_tag_kf1.cpp,True
PROC_TAG_KK1,418,daTag_Kk1_c,d_a_tag_kk1.cpp,True
PROC_TAG_PHOTO,419,daTagPhoto_c,d_a_tag_photo.cpp,True
PROC_TAG_KB_ITEM,420,daTagKbItem_c,d_a_tag_kb_item.cpp,False
PROC_TAG_MK,421,daTag_Mk_c,d_a_tag_mk.cpp,True
PROC_TAG_MDCB,422,daTag_MdCb_c,d_a_tag_md_cb.cpp,True
PROC_TAG_BA1,423,daTag_Ba1_c,d_a_tag_ba1.cpp,True
PROC_BRANCH,428,daBranch_c,d_a_branch.cpp,False
PROC_NPC_ZL1,429,daNpc_Zl1_c,d_a_npc_zl1.cpp,True
PROC_WATERFALL,430,daWfall_c,d_a_waterfall.cpp,True
PROC_LIGHTBRIDGE,431,fopAc_ac_c,unmapped.cpp,True
PROC_LIGHTSTAIR,432,fopAc_ac_c,unmapped.cpp,True
PROC_WALL,433,daWall_c,d_a_wall.cpp,False
PROC_SW_PROPELLER,434,daSwProp_c,d_a_swpropeller.cpp,True
PROC_IKARI,435,daIkari_c,d_a_ikari.cpp,False
PROC_BOOMERANG,436,daBoomerang_c,d_a_boomerang.cpp,True
PROC_AGB,437,daAgb_c,d_a_agb.cpp,False
PROC_AGBSW0,438,daAgbsw0_c,d_a_agbsw0.cpp,False
PROC_MAGMA,439,daMagma_c,d_a_magma.cpp,False
PROC_GRASS,440,grass_class,d_a_grass.cpp,False
PROC_KY_THUNDER,441,fopAc_ac_c,unmapped.cpp,True
PROC_VRBOX,442,vrbox_class,d_a_vrbox.cpp,False
PROC_VRBOX2,443,vrbox2_class,d_a_vrbox2.cpp,False
PROC_BG,444,daBg_c,d_a_bg.cpp,False
PROC_SPOTBOX,447,daSpotbox_c,d_a_spotbox.cpp,False
PROC_TORNADO,448,daTornado_c,d_a_tornado.cpp,True
PROC_TITLE,449,daTitle_c,d_a_title.cpp,True
PROC_MP,450,ep_class,d_a_ep.cpp,True
PROC_LODBG,451,daLodbg_c,d_a_lod_bg.cpp,True
PROC_HIMO2,452,himo2_class,d_a_himo2.cpp,True
PROC_HIMO3,453,himo3_class,d_a_himo3.cpp,True
PROC_ATT,454,att_class,d_a_att.cpp,True
PROC_WPILLAR,455,fopAc_ac_c,unmapped.cpp,True
PROC_SWHIT0,457,daSwhit0_c,d_a_swhit0.cpp,False
PROC_TAG_GSHIP,458,daTag_Gship_c,d_a_tag_ghostship.cpp,False
PROC_TSUBO,459,fopAc_ac_c,d_a_tsubo.cpp,True
PROC_STONE,460,Act_c,d_a_stone.cpp,True
PROC_BARREL_2,463,daObjBarrel2,d_a_barrel2.cpp,False
PROC_STANDITEM,468,fopAc_ac_c,unmapped.cpp,True
PROC_BOKO,469,daBoko_c,d_a_boko.cpp,True
PROC_TAMA,470,daTama_c,d_a_tama.cpp,False
PROC_WATER_MARK,474,dWaterMark_c,unmapped.cpp,True
PROC_ARROW,478,daArrow_c,d_a_arrow.cpp,False
PROC_ARROW_ICEEFF,479,daArrow_Iceeff_c,d_a_arrow_iceeff.cpp,False
PROC_ARROW_LIGHTEFF,480,daArrow_Lighteff_c,d_a_arrow_lighteff.cpp,False
PROC_CAMERA,482,fopAc_ac_c,unmapped.cpp,True
PROC_CAMERA2,483,fopAc_ac_c,unmapped.cpp,True
PROC_KYEFF,484,fopAc_ac_c,unmapped.cpp,True
PROC_KYEFF2,485,fopAc_ac_c,unmapped.cpp,True
PROC_MESG,486,fopAc_ac_c,unmapped.cpp,True
PROC_MSG,487,sub_msg_class,d_a_msw.cpp,True
PROC_MSG2,488,daTag_Msg_c,unmapped.cpp,True
PROC_MSG3,489,daTag_Msg_c,unmapped.cpp,True
PROC_MENUWINDOW,490,sub_ms_screen_class,unmapped.cpp,True
PROC_TIMER,492,fopAc_ac_c,unmapped.cpp,True
PROC_AUCTION_SCREEN,493,fopAc_ac_c,unmapped.cpp,True
PROC_PLACE_NAME,494,fopAc_ac_c,unmapped.cpp,True
PROC_MINIGAME_STARTER,495,fopAc_ac_c,unmapped.cpp,True
PROC_MINIGAME_TERMINATER,496,fopAc_ac_c,unmapped.cpp,True
PROC_METER,497,sub_meter_class,unmapped.cpp,True
PROC_OPERATE_WIND,498,fopAc_ac_c,unmapped.cpp,True
PROC_SCP,499,fopAc_ac_c,unmapped.cpp,True
PROC_PB,500,bb_class,d_a_bb.cpp,True
PROC_GAMEOVER,501,dGameover_c,unmapped.cpp,True
PROC_FallRock,425,daFallRock_c,unmapped.cpp,True
PROC_TagRock,424,daFallRockTag_c,unmapped.cpp,True
